panel,case_id,model,point_index,x_a,z_a,x_m,z_m,direction_displayed,arrow_x,arrow_z,force_x_n,force_y_n,force_z_n
a,hub_x+0.000_y+0.000_D1,Gor’kov + g,86,0.8333333333333335,0.0,0.0005416666666666668,0.0,True,-0.9973149112577634,-0.07323228647884325,-2.0579577268908284e-05,-1.5025058325139584e-07,-1.5111470621345836e-06
a,hub_x+0.000_y+0.000_D1,Gor’kov + g,87,1.25,0.0,0.0008125,0.0,True,-0.9988387677188105,-0.048177962825007616,-2.9436551591881468e-05,-1.994620788300765e-07,-1.4198418544856967e-06
a,hub_x+0.000_y+0.000_D1,Gor’kov + g,88,1.666666666666667,0.0,0.0010833333333333335,0.0,True,-0.9993706755857648,-0.03547185897654579,-3.6668455965085975e-05,-2.2253431247498518e-07,-1.3015173755411884e-06
a,hub_x+0.000_y+0.000_D1,Gor’kov + g,89,2.083333333333334,0.0,0.001354166666666667,0.0,True,-0.9996147154994467,-0.02775645072699601,-4.1895989307864834e-05,-2.1565999514820048e-07,-1.1633321767391944e-06
a,hub_x+0.000_y+0.000_D1,Gor’kov + g,90,2.5,0.0,0.001625,0.0,True,-0.9997442798136755,-0.02261360165553561,-4.487296479269976e-05,-1.8363845532844015e-07,-1.0149989066345101e-06
a,hub_x+0.000_y+0.000_D1,Gor’kov + g,91,-2.5,0.41666666666666696,-0.001625,0.00027083333333333354,True,0.9995479827019558,-0.030063770163617068,4.4711241076655416e-05,1.9716211990902605e-07,-1.3447963466696845e-06
a,hub_x+0.000_y+0.000_D1,Gor’kov + g,92,-2.0833333333333335,0.41666666666666696,-0.0013541666666666667,0.00027083333333333354,True,0.9993021204089505,-0.03735334183410408,4.1754259888754174e-05,2.2423781052236868e-07,-1.5607503584765592e-06
a,hub_x+0.000_y+0.000_D1,Gor’kov + g,93,-1.6666666666666665,0.41666666666666696,-0.0010833333333333333,0.00027083333333333354,True,0.9988406970273227,-0.04813794721394006,3.655461666429237e-05,2.2859202499599e-07,-1.761706559062426e-06
a,hub_x+0.000_y+0.000_D1,Gor’kov + g,94,-1.25,0.41666666666666696,-0.0008125,0.00027083333333333354,True,0.997833899566117,-0.06578380406054614,2.935311372746413e-05,2.0476423069664442e-07,-1.9351512138984822e-06
a,hub_x+0.000_y+0.000_D1,Gor’kov + g,95,-0.8333333333333333,0.41666666666666696,-0.0005416666666666666,0.00027083333333333354,True,0.9949641440663759,-0.10023149216820078,2.0526786814580787e-05,1.5422863343598926e-07,-2.0678438354927553e-06
a,hub_x+0.000_y+0.000_D1,Gor’kov + g,96,-0.4166666666666665,0.41666666666666696,-0.0002708333333333332,0.00027083333333333354,True,0.9799044410906909,-0.19946750695474375,1.0558575558793855e-05,8.378666845068659e-08,-2.1492838029815403e-06
a,hub_x+0.000_y+0.000_D1,Gor’kov + g,97,0.0,0.41666666666666696,0.0,0.00027083333333333354,True,7.504392705670837e-07,-0.9999999999997184,1.6334615463520873e-12,-4.943155198181198e-13,-2.1766738634523635e-06
a,hub_x+0.000_y+0.000_D1,Gor’kov + g,98,0.41666666666666696,0.41666666666666696,0.00027083333333333354,0.00027083333333333354,True,-0.9799044288976788,-0.1994675668541484,-1.0558572377574095e-05,-8.378765060710762e-08,-2.1492838275844174e-06
a,hub_x+0.000_y+0.000_D1,Gor’kov + g,99,0.8333333333333335,0.41666666666666696,0.0005416666666666668,0.00027083333333333354,True,-0.9949641424094351,-0.10023150861608993,-2.0526783885139443e-05,-1.542295955944566e-07,-2.06784388315908e-06
a,hub_x+0.000_y+0.000_D1,Gor’kov + g,100,1.25,0.41666666666666696,0.0008125,0.00027083333333333354,True,-0.9978338990408457,-0.06578381202806073,-2.9353111198323466e-05,-2.047651606636271e-07,-1.935151282558534e-06
a,hub_x+0.000_y+0.000_D1,Gor’kov + g,101,1.666666666666667,0.41666666666666696,0.0010833333333333335,0.00027083333333333354,True,-0.9988406967872001,-0.04813795219637578,-3.655461465796091e-05,-2.2859291160277478e-07,-1.7617066451355764e-06
a,hub_x+0.000_y+0.000_D1,Gor’kov + g,102,2.083333333333334,0.41666666666666696,0.001354166666666667,0.00027083333333333354,True,-0.9993021202740582,-0.037353345442833044,-4.175425849476866e-05,-2.242386432867198e-07,-1.56075045736589e-06
