task,method,optimizer,parameter,parameter_value,metric,n_pairs,n_valid,n_missing,median,q25,q75,minimum,maximum,ci95_lo,ci95_hi
Single,FE,L-BFGS-B,alpha_factor,0.03,surrogate_residual_n,1,1,0,4.228240021160905e-07,4.228240021160905e-07,4.228240021160905e-07,4.228240021160905e-07,4.228240021160905e-07,,
Single,FE,L-BFGS-B,alpha_factor,0.03,command_cosine_to_fixed_GFE,1,1,0,0.9999983546003073,0.9999983546003073,0.9999983546003073,0.9999983546003073,0.9999983546003073,,
Single,FE,L-BFGS-B,alpha_factor,0.03,field_cosine_to_fixed_GFE,1,1,0,0.9999990350052828,0.9999990350052828,0.9999990350052828,0.9999990350052828,0.9999990350052828,,
Single,FE,L-BFGS-B,alpha_factor,0.03,worst_displacement_a,1,1,0,0.07244935393373035,0.07244935393373035,0.07244935393373035,0.07244935393373035,0.07244935393373035,,
Single,FE,L-BFGS-B,alpha_factor,0.03,minimum_stiffness_n_m,1,1,0,0.002244257835694853,0.002244257835694853,0.002244257835694853,0.002244257835694853,0.002244257835694853,,
Single,FE,L-BFGS-B,alpha_factor,0.03,common_nominal_loss_std_n_m,1,0,1,,,,,,,
Single,FE,L-BFGS-B,alpha_factor,0.1,solve_wall_s,1,1,0,0.009818199992878363,0.009818199992878363,0.009818199992878363,0.009818199992878363,0.009818199992878363,,
Single,FE,L-BFGS-B,alpha_factor,0.1,iterations,1,1,0,38.0,38.0,38.0,38.0,38.0,,
Single,FE,L-BFGS-B,alpha_factor,0.1,evaluations,1,1,0,48.0,48.0,48.0,48.0,48.0,,
Single,FE,L-BFGS-B,alpha_factor,0.1,terminal_gradient_l2,1,1,0,1.369752264165644e-08,1.369752264165644e-08,1.369752264165644e-08,1.369752264165644e-08,1.369752264165644e-08,,
Single,FE,L-BFGS-B,alpha_factor,0.1,terminal_gradient_inf,1,1,0,6.247832982807435e-09,6.247832982807435e-09,6.247832982807435e-09,6.247832982807435e-09,6.247832982807435e-09,,
Single,FE,L-BFGS-B,alpha_factor,0.1,relative_gradient_l2,1,1,0,2.9999315613925926e-05,2.9999315613925926e-05,2.9999315613925926e-05,2.9999315613925926e-05,2.9999315613925926e-05,,
Single,FE,L-BFGS-B,alpha_factor,0.1,objective_n_m,1,1,0,-0.05905845037333969,-0.05905845037333969,-0.05905845037333969,-0.05905845037333969,-0.05905845037333969,,
